Week,Check Date,Gross Earnings,Worked Hours,Overtime Worked Hours,Menu,Gross Tip Hourly Rate,Hourly Rate,Overtime Hourly Rate
1,5-9-2024,"3011.60",86.4,6.4,Old,"2266.00",8,16.5
2,05-23-2024,"3344.24",81.4,1.4,Old,"2681.14",8,16.5
3,06-06-2024,"2801.12",78.14,0,Old,"2176.00",8,16.5
4,06-20-2024,"3760.35",85.9,5.9,Old,"3023.00",8,16.5
5,07-04-2024,"3030.28",81.15,1.15,Old,"2371.31",8,16.5
6,07-18-2024,"2703.28",68.37,0,Old,"2019.58",10,15
7,08-01-2024,"2746.68",63.85,0,New,"2108.18",10,15
8,08-15-2024,"2127.62",57.33,0,New,"1554.32",10,15
9,08-29-2024,"2564.66",76.04,0,New,"1804.26",10,15
10,09-12-2024,"1615.00",51.49,0,New,"1100.10",10,15
11,09-26-2024,"2956.20",79.74,0,New,"2158.80",10,15
12,10-10-2024,"1899.30",52.25,0,New,"1376.80",10,15
13,10-24-2024,"1801.70",51.33,0,New,"1288.40",10,15
14,11-07-2024,"2327.90",59.9,0,New,"1728.90",10,15
15,11-21-2024,"2357.00",63.4,0,New,"1723.00",10,15
16,12-05-2024,"2689.50",62.5,0,New,"2064.50",10,15
17,12-19-2024,"3004.30",76.33,0,New,"2241.00",10,15
18,01-02-2025,"2939.60",69.76,0,New,"2242.00",10,15
19,01-16-2025,"2106.00",56.5,0,New,"1541.00",10,15
20,01-30-2025,"3109.90",69.89,0,New,"2411.00",10,15